Sign Index,,,
,No Right Turn and No Left Turn (L or R),R2-6B R2-6S R2-6A R2-6D,"600 x 600
300 x 300
450 x 450
900 x 900"
,,R2-6C,750 x 750
,No Right Turn or No Left Turn (ARR-91),R2-6B R2-6C R2-6A R2-6AA R2-6D,"600 x 600
750 x 750
450 x 450
300 x 300
900 x 900"
,No Turns,R2-7A R2-7S R2-7B,"450 x 600
300 x 400
600 x 800"
,No Turns (ARR-98),R2-7B R2-7AA R2-7A,"600 x 800
300 x 400
450 x 600"
,Left Lane Must Turn Left and Right Lane Must Turn Right (L or R) (ARR-88),R2-9AA R2-9A R2-9C R2-9B,"300 x 500
450 x 750
900 x 1500
600 x 1000"
,No Entry-Emergency & Maintenance Vehicles Excepted Gate X,R2-SA101,900 x 600
,Left Turn (Right Turn) Give Way To Pedestrians & Cyclists (Replaces R2-10),R2-SA102,750 x 750
,No Entry To Busway,R2-SA103C R2-SA103B R2-SA103A,"900 x 1440
750 x 1200
600 x 960"
,Keep Left (used ONLY where back to back median is installed),R2-SA3,150 x 1150
,Left Lane Must Turn Left Buses & Bicycles Excepted,R2-SA50A R2-SA50B,"450 x 1050
600 x 1400"
,No Right Turn with single time period Mon - Frid,R2-SA51-1S R2-SA51-1C R2-SA51-1B R2-SA51-1A,"300 x 500
900 x 1500
600 x 1000
450 x 750"
,No Right Turn with two time periods Mon - Fri,R2-SA51-2A R2-SA51-2C R2-SA51-2S R2-SA51-2B,"450 x 900
900 x 1800
300 x 600
600 x 1200"
,Right Lane Buses Only,R2-SA57,600 x 750
,No U Turn with single time period Mon - Fri,R2-SA60-1AA R2-SA60-1B R2-SA60-1C R2-SA60-1A,"300 x 500
600 x 1000
900 x 1500
450 x 750"
Sign Image,Sign Code,Description,Size (W x H)
,No U Turn with two time periods Mon - Fri,R2-SA60-2B R2-SA60-2C R2-SA60-2A R2-SA60-2AA,"600 x 1200
900 x 1800
450 x 900
300 x 600"
,"Right Turn From Left Only Adelaide Metro Buses Only without Times (Approval required for use - refer to Manager, Traffic Services, DPTI)",R2-SA61,300 x 700
,"Right Turn From Left Only Adelaide Metro Buses Only with Times (Approval required for use - refer to Manager, Traffic Services, DPTI)",R2-SA62,300 x 1000
,Pedestrian Crossing,R3-1C R3-1A R3-1B,"900 x 900
600 x 600
750 x 750"
,"Safety Zone (ARR-162,190)(Approval required for use - refer to Manager, Traffic Services, DPTI)",R3-2B R3-2A,"600 x 600
450 x 450"
,Children crossing (flag) (ARR-80),R3-3,600 x 600
,"Pedestrians May Cross Diagonally (L or R) (Approval required for use - refer to Manager, Traffic Services, DPTI) (ARR-230,234)",R3-5A R3-5B,"90 x 110
300 x 400"
Sign Image,Sign Code,Description,Size (W x H)
,Speed Limit - 50 Other Times,R3-SA101A R3-SA101B,"430 x 300
600 x 400"
,Speed Limit - 60 Other Times,R3-SA102A R3-SA102B,"450 x 300
600 x 400"
,Koala Pedestrian Crossing . Formerly R4-SA56 (ARR-80),R3-SA56B R3-SA56A,"600 x 1600
450 x 1200"
,Children Crossing - 25 When Lights Flashing,R3-SA57A R3-SA57B,"650 x 1400
800 x 1800"
,School Zone Speed Limit. Formerly R4-SA58 (ARR-23),R3-SA58A R3-SA58B,"450 x 1555
600 x 2070"
,"Speed Limit Area (Approval required for use - refer to Manager, Traffic Services, DPTI) (ARR-22)",R4-10A R4-10B,"450 x 750
600 x 1000"
,"End Speed Limit Area (Approval required for use - refer to Manager, Traffic Services, DPTI) (ARR-22)",R4-11B R4-11A,"600 x 1000
450 x 750"
,"End Speed Restriction (Approval required for use - refer to Manager, Traffic Services DIT) (ARR-21)",R4-12B R4-12C,"600 x 1000
800 x 1334"
,End 40 Area,R4-13,600 x 200
,You Are Within A 40 Area,R4-14(Illus.),450 x 750
,"Speed Restriction (Approval required for use - refer to Manager, Traffic Services Section DIT) (ARR-21,316)",R4-1A R4-1C R4-1D R4-1B,"450 x 600
900 x 1200
1200 x 1600
600 x 800"
,Roadwork,R4-3C R4-3B R4-3A,"900 x 600
600 x 400
450 x 300"
,"Shared Zone (Approval required for use - refer to Manager, Traffic Services, DPTI) (ARR-24)",R4-4,450 x 750
,"End Shared Zone (Approval required for use - refer to Manager, Traffic Services Section of DIT) (ARR-24)",R4-5,450 x 750
,Speed Limit - Line Marking (Use on Vehicle Mounted Frames only for Mobile Work Sites),R4-SA100,1200 x 450
,End Speed Limit (Use on Vehicle Mounted Frames only for Mobile Work Sites),R4-SA101,1200 x 450
,Speed Limit - Time Based,R4-SA102,450 x 650
,School Speed Limit 40 - Time Based School Days.,R4-SA105A R4-SA105B,"450 x 1350
600 x 1800"
,Speed Limit - Timed Based,R4-SA107,900 x 1300
,Speed Limit - Timed Based,R4-SA108,900 x 1300
,End School Zone Speed Limit (ARR-23),R4-SA59A R4-SA59B,"450 x 900
600 x 1200"
,End School Zone (km/h) Area,R4-SA60B R4-SA60A,"600 x 1200
450 x 900"
,"End School Zone - End (km/h) Area (Approval required for use - refer to Manager, Traffic Services, DPTI)",R4-SA61A R4-SA61B,"450 x 1050
600 x 1400"
,"Parking Signs (Refer to Australian Standards for designs) (R5-39 requires approval from Manager, Traffic Services, DPTI)",R5-1,0 x 0
,Accessible Parking (Generic sign code only),R5-10,225 x 450
,Event Parking (Generic sign code only),R5-2,225 x 450
,Bus Zone,R5-20,225 x 300
,No Standing (with Times) School Days (Generic sign code only),R5-36,225 x 400
,Tow Away Zone (Requires approval from Manager Traffic Services DIT),R5-39A R5-39B,"600 x 225
900 x 337"
,No Parking - During Stadium Events (Generic sign code only),R5-41,225 x 450
,"Clearway with one or two time periods periods/days or At All Times (Approval required for use - refer to Manager, Traffic Services, DPTI (ARR-176)",R5-50A R5-50B,"600 x 800
900 x 1200"
,"End Clearway (Approval required for use - refer to Manager, Traffic Services, DPTI) (ARR-176)",R5-51A R5-51B,"600 x 600
900 x 900"
,"Emergency Stopping Lane Only (L or R) (Approval required for use - refer to Manager, Traffic Services, DPTI) (ARR-95)",R5-58,1500 x 1100
,Parking Area One or two time/day periods (not used on DPTI maintained Rd's),R5-60B R5-60A,"3000 x 1500
2000 x 1000"
,Parking Area requiring ticket Time and date period (not used on DPTI maintained Rd's),R5-61B R5-61A,"900 x 1350
600 x 900"
,Parking Area Two time/day periods (not used on DPTI maintained Rd's),R5-62B R5-62A,"600 x 1065
450 x 800"
,End of Parking Area (not used on DPTI maintained roads) (ARR-335),R5-63A R5-63B,"600 x 600
900 x 900"
,Area Parking Control Ahead (not used on DPTI maintained Rd's),R5-64A R5-64B,"600 x 600
800 x 800"
,Park in Bays Only (not used on DPTI maintained Rd's) (ARR-211),R5-65A R5-65B,"450 x 300
600 x 400"
,No Stopping Area - 2 Times (not used on DPTI maintained Rd's),R5-70B R5-70A,"3000 x 1500
2000 x 1000"
,No Stopping Area - 1 Time (not used on DPTI maintained Rd's) (ARR-167),R5-71AA R5-71B R5-71A,"450 x 600
900 x 1200
600 x 800"
,No Stopping Area - Internal (not used on DPTI maintained Rd's),R5-72A R5-72B,"450 x 800
600 x 1065"
,No Stopping Area - End (not used on DPTI maintained Rd's) (ARR-335),R5-73B R5-73A,"600 x 800
450 x 600"
,No Parking Area - 2 Times (not used on DPTI maintained Rd's),R5-80,2000 x 1000
,No Parking Area - 1 Time (not used on DPTI maintained Rd's) (ARR-168),R5-81C R5-81A R5-81B,"900 x 1200
450 x 600
600 x 800"
,No Parking - Internal (not used on DPTI maintained Rd's),R5-82A R5-82B,"450 x 800
600 x 1065"
,End No Parking Area (not used on DPTI maintained Rd's) (ARR-335),R5-83,450 x 600
,Part Time Bus Lane / Parking - One Time Period,R5-SA100-1N,225 x 600
,Part Time Bus Lane / Parking - One Time Period,R5-SA100-1W,450 x 450
,Part Time Bus Lane / Parking - Two Time Periods,R5-SA100-2N,225 x 800
Sign Image,Sign Code,Description,Size (W x H)
,Part Time Bus Lane / Parking - Two Time Periods,R5-SA100-2W,450 x 450
,Part Time Bicycle Lane / Parking - One Time Period,R5-SA101-1N,225 x 600
,Part Time Bicycle Lane / Parking - One Time Period,R5-SA101-1W,450 x 450
,Part Time Bicycle Lane / Parking - Two Time Periods,R5-SA101-2N,225 x 800
,Part Time Bicycle Lane / Parking - Two Time Periods,R5-SA101-2W,450 x 450
,Bicycle Lane - Two time periods,R5-SA102,225 x 450
,Parking Permitted In This Bay During Clearway Period,R5-SA163,225 x 300
,Parking (any time period) Permitted In This Bay At All Times,R5-SA164,225 x 300
,No Stopping When Lights Flashing,R5-SA165,225 x 450
,X P Trucks Only Times,R5-SA166,225 x 300
,No Parking / No Stopping - EV Electric Vehicles Excepted,R5-SA167,225 x 450
,Clearway - One Time Period,R5-SA46-1,225 x 300
,Clearway - Two Time Periods,R5-SA46-2,225 x 450
,Buses Prohibited (to enter or travel on a road) (ARR-106),R6-10-1C R6-10-1A R6-10-1B,"1200 x 1200
600 x 600
900 x 900"
,Trucks Prohibited (to enter or travel on a road) (ARR-104),R6-10-2B R6-10-2C R6-10-2A,"900 x 900
1200 x 1200
600 x 600"
,"The riding of bicycles is prohibited beyond this sign (ARR-239,242,252)",R6-10-3B R6-10-3C R6-10-3D R6-10-3A,"600 x 600
750 x 750
900 x 900
450 x 450"
,Low Clearance (m) (ARR-102),R6-11,1950 x 600
,Clearance (m) (ARR-102),R6-12,1500 x 600
,"No Pedestrians Bicycles Animals Beyond This Point.
Also refer to R6-SA101 (Approval required for use - refer to Manager, Traffic Services, DPTI) (ARR-97,229)",R6-13,1200 x 1500
,Stop Here On Red Arrow (ARR-56),R6-14A R6-14B,"450 x 750
675 x 1125"
,Pedestrians Prohibited (ARR-228),R6-15M R6-15B R6-15A,"600 x 600
450 x 450
300 x 300"
,Low Clearance (m) (Narrow Format),R6-16,1950 x 180
,Bridge Load Limit (Per Axle Group) (t) (ARR-103),R6-17,1200 x 750
,"Buses Must Enter (Approval required for use - refer to Manager, Traffic Services, DPTI) (ARR-107)",R6-18C R6-18B R6-18A,"1200 x 1400
900 x 1050
600 x 700"
,"Start Freeway Formerly GE6-13 Refer R6-SA108 (Approval required for use - refer to Manager, Traffic Services, DPTI)(ARR-177)",R6-19A R6-19B,"1200 x 600
1800 x 900"
,No Overtaking Or Passing (ARR-93),R6-1B R6-1A,"1200 x 1440
750 x 900"
,"Freeway Entrance (Approval required for use - refer to Manager, Traffic Services, DPTI)",R6-20B R6-20A,"1800 x 900
1200 x 600"
,"End Freeway Formerly GE6-11 Refer R6-SA107 (Approval required for use - refer to Manager, Traffic Services,
DPTI) (ARR-97,177)",R6-21A R6-21B,"900 x 450
1800 x 900"
,"Trucks & Buses Must Use Low Gear (Approval required for use - refer to Manager, Traffic Services, DPTI) (ARR- 108)",R6-22B R6-22C R6-22A,"1400 x 1200
1800 x 1500
1200 x 1000"
,"End Truck & Bus Low Gear Area (Approval required for use - refer to Manager, Traffic Services, DPTI) (ARR-108)",R6-23B R6-23A,"1500 x 1200
1000 x 800"
,Railway Crossing Position With Target Board Formerly W7-6 Replaced by Rail Auth. ONLY (ARR-120),R6-25C R6-25,"1500 x 1000
1350 x 900"
,Tramway Crossing Position (ARR-120),R6-26,1350 x 900
,"Trucks Must Enter (Approval required for use - refer to Manager, Traffic Services, DPTI) (ARR-105)",R6-27C R6-27A R6-27B,"1200 x 1400
600 x 700
900 x 1050"
,"Trucks Use Left Lane (Approval required for use - refer to Manager, Traffic Services, DPTI) (ARR-159)",R6-28C R6-28A R6-28B,"1800 x 1800
900 x 900
1200 x 1200"
,"Keep Left Unless Overtaking Formerly G9-39 (Approval required for use - refer to Manager, Traffic Services, DPTI) (ARR-130)",R6-29B R6-29A R6-29C,"1800 x 900
1200 x 600
2400 x 1200"
,No Overtaking On Bridge (ARR-94),R6-2B R6-2A,"1200 x 1440
750 x 900"
,"Median Turning Lane (Approval required for use - refer to Manager, Traffic Services, DPTI) (ARR-86)",R6-30A R6-30B,"600 x 1200
900 x 1800"
,Give way to Buses Attached to rear of bus only,R6-31,450 x 450
,"End Keep Left Unless Overtaking (Approval required for use - refer to Manager, Traffic Services, DPTI) (ARR-130)",R6-32,1200 x 800
,Overall Length Limit 'x'm,R6-33,1200 x 1350
,Bridge Load Limit (t) Gross (ARR-103),R6-3A R6-3B,"600 x 900
900 x 1350"
,Gross Load Limit (t) (ARR-103),R6-4B R6-4A,"900 x 1350
600 x 900"
,Stop Here On Red Signal (ARR-56),R6-6B R6-6A,"675 x 1125
450 x 750"
,"Hand Stop Banner Koala Pedestrian Crossing (double sided) ('AA' size used only at crossings)(ARR-80,101)",R6-7A R6-7B R6-7AA,"450 x 450
600 x 600
375 x 375"
,Stop/Slow Bat (Stop Face) and Stop Railway Gate sign,R6-8A R6-8B,"450 x 450
600 x 600"
,Stop On Red Signal (ARR-56),R6-9,450 x 600
,"No Peds Bicycles Animals Small Wheeled Vehicles Beyond This Point Except In Emergency (ARR-97,229) At Gates only",R6-SA101,300 x 600
,Fishing From Causeway Prohibited,R6-SA102,900 x 600
,"Skaters Permitted (Approval required for use - refer to Manager, Traffic Services, DPTI)",R6-SA103,225 x 300
,"All Skaters Prohibited (Approval required for use - refer to Manager, Traffic Services, DPTI)",R6-SA104,225 x 300
,Next 'x'km (mounted under R6-22),R6-SA105B R6-SA105C R6-SA105AA R6-SA105A,"1440 x 450
1800 x 560
900 x 280
1200 x 370"
,Next XXXm (mounted under R6-22),R6-SA106C R6-SA106A R6-SA106B,"1800 x 560
1200 x 370
1440 x 450"
,"End Expressway/Freeway (ARR-97,177)",R6-SA107A R6-SA107B,"900 x 450
1800 x 900"
,Start Expressway/Freeway (ARR-177),R6-SA108B R6-SA108A,"1800 x 900
1200 x 600"
,Clearance x.x m,R6-SA12,2100 x 450
,Fishing From Bridge Prohibited,R6-SA66,900 x 600
,Adelaide Metro Buses Only,R6-SA67,300 x 300
,Adelaide Metro Buses Excepted,R6-SA68,300 x 300
,Tram Only,R7-10E R7-10C R7-10D,"1200 x 1600
600 x 800
900 x 1200"
,Crossing Arrow - both ways (Use with G9-87-1 & G9-87- 2),R7-11-1D R7-11-1C R7-11-1E,"900 x 300
600 x 200
1200 x 400"
,Crossing Arrow - one way left (Use with G9-87-1 & G9- 87-2),R7-11-2C R7-11-2E,"600 x 200
1200 x 400"
,Crossing Arrow - one way right (Use with G9-87-1 & G9- 87-2),R7-11-3E R7-11-3D R7-11-3C,"1200 x 400
900 x 300
600 x 200"
,"Bus Lane (Approval required for use - refer to Manager, Traffic Services, DPTI) (ARR-154)",R7-1-1D R7-1-1E R7-1-1C,"900 x 1200
1200 x 1600
600 x 800"
,"Truck Lane (Approval required for use - refer to Manager, Traffic Services, DPTI) (ARR-157)",R7-1-3D R7-1-3E R7-1-3C,"900 x 1200
1200 x 1600
600 x 800"
,"Bicycle Lane (ARR-153,252)",R7-1-4C R7-1-4D R7-1-4B,"600 x 800
900 x 1200
450 x 600"
,"Tram Lane (Approval required for use - refer to Manager, Traffic Services, DPTI) (ARR-155)",R7-1-5C R7-1-5B R7-1-5D,"600 x 800
450 x 600
900 x 1200"
,"Bus/Bicycle Lane (Approval required for use - refer to Manager, Traffic Services, DPTI)",R7-1-6C R7-1-6D R7-1-6E,"600 x 800
900 x 1200
1200 x 1600"
,Ahead use with R7-1 only (Also See R7-SA2),R7-2C R7-2E R7-2D R7-2B,"600 x 200
1200 x 400
900 x 300
450 x 150"
,Left Lane / Right Lane (L or R) (Use with R7-1 series only),R7-3C R7-3B R7-3D R7-3E,"600 x 400
450 x 300
900 x 600
1200 x 800"
,End,R7-4D R7-4E R7-4A R7-4B R7-4C,"900 x 300
1200 x 400
300 x 100
450 x 150
600 x 200"
,Overhead Arrow (Use with R7-1 series only),R7-5B R7-5D R7-5C R7-5E,"450 x 300
900 x 600
600 x 400
1200 x 800"
,Left Lane (Used with R6-11 or R6-12),R7-6-1,1400 x 400
,Kerb Lane (Used with R6-11 or R6-12),R7-6-2,1400 x 400
,Centre Lane (Used with R6-11 or R6-12),R7-6-3,1600 x 400
,This Lane (Used with R6-11 of R6-12),R7-6-4,1600 x 400
,"Transit Lane (T2) (Approval required for use - refer to Manager, Traffic Services, DPTI) (ARR-156)",R7-7-1E R7-7-1D R7-7-1C,"1200 x 1600
900 x 1200
600 x 800"
,"Transit Lane (T3) (Approval required for use - refer to Manager, Traffic Services, DPTI) (ARR-156)",R7-7-2C R7-7-2E R7-7-2D,"600 x 800
1200 x 1600
900 x 1200"
,"Bus Only (Approval required for use - refer to Manager, Traffic Services, DPTI) (ARR-154)",R7-8E R7-8D R7-8C,"1200 x 1600
900 x 1200
600 x 800"
,"End Transit Lane (T2) (Approval required for use - refer to Manager, Traffic Services, DPTI) (ARR-156)",R7-9-1E R7-9-1C R7-9-1D,"1200 x 1200
600 x 600
900 x 900"
,"End Transit Lane (T3) (Approval required for use - refer to Manager, Traffic Services, DPTI) (ARR-157)",R7-9-2C R7-9-2E R7-9-2D,"600 x 600
1200 x 1200
900 x 900"
,'xxx' m Ahead (For use with R6-22),R7-SA100A R7-SA100B R7-SA100C,"1200 x 800
1440 x 960
1800 x 1200"
,Ahead (Also see R7-2),R7-SA2B R7-SA2A,"1800 x 600
1650 x 550"
,End,R7-SA4,1650 x 600
,"Bicycle Path Only (ARR-239,242,252)",R8-1C R8-1B R8-1A,"600 x 800
450 x 600
300 x 400"
,"Shared Path (ARR-242,252)",R8-2A R8-2B R8-2C,"300 x 400
450 x 600
600 x 800"
,"Separated Path (L or R) (left shown) (ARR-239,252)",R8-3A R8-3C R8-3B,"300 x 300
600 x 600
450 x 450"
,Pedestrian Cyclist and Horses,R8-SA100,300 x 675
,Over 'xx' t GVM,R9-10A R9-10B R9-10C,"600 x 400
900 x 600
1200 x 800"
,Vehicles Over xxm Long,"R9-11-1D R9-11-1C R9-11-1A
R9-11-1B(Illust.)","1200 x 1000
900 x 750
450 x 375
600 x 500"
,Over xxm Long,R9-11-2AA R9-11-2C R9-11-2A R9-11-2B,"450 x 300
1200 x 800
600 x 400
900 x 600"
,Times of operation module - single time period,R9-1-1B R9-1-1D R9-1-1AA R9-1-1C R9-1-1A,"600 x 450
1200 x 800
300 x 200
900 x 600
450 x 300"
,Times of operation Module - two time periods,R9-1-2B R9-1-2AA R9-1-2A R9-1-2C R9-1-2D,"600 x 600
300 x 300
450 x 450
900 x 900
1200 x 1200"
Sign Image,Sign Code,Description,Size (W x H)
,At All Times (Use of this sign is restricted see AS1742.12),R9-1-3C R9-1-3D R9-1-3B,"900 x 600
1200 x 800
600 x 400"
,Regulatory,R9-19B R9-19C R9-19A,"900 x 750
1050 x 875
750 x 625"
,Buses Excepted (Use with R2-9),R9-2AA R9-2A R9-2C R9-2B,"300 x 200
450 x 300
750 x 500
600 x 400"
,Bicycles Excepted (Use with R2-9),R9-3A R9-3AA R9-3C R9-3D R9-3B,"450 x 300
300 x 200
750 x 500
1500 x 300
600 x 400"
,Authorised Vehicles Excepted (application Road Traffic Act Regulations ONLY),R9-4C R9-4A R9-4B,"750 x 500
450 x 300
600 x 400"
,On Freeway,R9-5C R9-5D,"750 x 375
900 x 450"
,Next 'x' m (One Line),R9-6-1B R9-6-1C R9-6-1A,"1000 x 200
1200 x 240
750 x 150"
Sign Image,Sign Code,Description,Size (W x H)
,Next 'x' m (Two Lines),R9-6-2A R9-6-2C R9-6-2B,"450 x 300
750 x 500
600 x 400"
,Next 'x' km (One Line),R9-7-1B R9-7-1C R9-7-1A,"1000 x 200
1200 x 240
750 x 150"
,Next 'x' km (Two Lines),R9-7-2A R9-7-2C R9-7-2B,"450 x 300
750 x 500
600 x 400"
,AT (Street Name) (formerly R9-SA53-1),R9-8A R9-8B R9-8C,"450 x 450
600 x 600
750 x 750"
,One Lane,R9-9B R9-9A,"750 x 500
600 x 400"
,Busway Buses Excepted,R9-SA101A R9-SA101D R9-SA101C R9-SA101B,"450 x 300
900 x 600
750 x 500
600 x 400"
,Emergency Vehicles Excepted,R9-SA102A R9-SA102B R9-SA102C,"450 x 300
600 x 400
900 x 600"
,Fuel Tankers Excepted,R9-SA103B R9-SA103A,"600 x 400
450 x 300"
,Trams Excepted,R9-SA104C R9-SA104B R9-SA104A,"750 x 500
600 x 400
450 x 300"
,Local Delivery or Pickup Excepted (Use only with R6-10- 2) (Refer to Manger Traffic Services Section of DIT before use),R9-SA105B R9-SA105C R9-SA105A,"900 x 750
1200 x 1000
600 x 500"
,"Over XX.X t (Only use with R6-28) (Approval required for use - refer to Manager, Traffic Services, DPTI)",R9-SA106B R9-SA106C,"1200 x 700
1800 x 1050"
,"On green arrow (only to be used with R2-15)(Approval required for use - refer to Manager, Traffic Services, DPTI)",R9-SA107B R9-SA107A,"600 x 800
450 x 600"
,Bus Lane Vehicles Excepted (Refer to Manager Traffic Services Section of DIT before use) (ARR-154),R9-SA108A R9-SA108B,"450 x 450
600 x 600"
,Heavy Vehicles Excepted,R9-SA109C R9-SA109A R9-SA109B,"750 x 500
450 x 300
600 x 400"
,Hook Turn Excepted,R9-SA110A R9-SA110B,"450 x 300
600 x 400"
,Garbage Trucks Excepted,R9-SA111A R9-SA111B R9-SA111C,"450 x 300
600 x 400
750 x 500"
,Trucks Excepted,R9-SA113C R9-SA113A R9-SA113B,"750 x 500
450 x 300
600 x 400"
,On Ramp,R9-SA17B R9-SA17C,"600 x 400
900 x 600"
,Police Vehicles Excepted,R9-SA50C R9-SA50A R9-SA50B,"750 x 500
450 x 300
600 x 400"
,Ambulances Excepted,R9-SA51B R9-SA51C R9-SA51A,"600 x 400
750 x 500
450 x 300"
,High Vehicles Excepted,R9-SA52C R9-SA52B R9-SA52A,"750 x 500
600 x 400
450 x 300"
,"AT - (Three lines-name of road ) install in advance of intersection with R2-5, R2-6, R2-7, R2-9 only",R9-SA53-2A R9-SA53-2B R9-SA53-2C,"450 x 450
600 x 600
750 x 750"
,Emergency and Maintenance Vehicles Excepted (application Road Traffic Act Regulations ONLY),R9-SA54B R9-SA54A R9-SA54C,"600 x 600
450 x 450
750 x 750"
,"TO - (Two lines - name of road) installed at intersection with R2-5, R2-6, R2-7, R2-9 only",R9-SA55-1A R9-SA55-1C R9-SA55-1B,"450 x 300
750 x 500
600 x 400"
,"TO - (Three lines-name of road) installed at intersection with R2-5,R2-6, R2-7, R2-9 only",R9-SA55-2B R9-SA55-2A R9-SA55-2C,"600 x 600
450 x 450
750 x 750"
,Sat - Sun,R9-SA56,450 x 150
,Dual Times School Days,R9-SA57C R9-SA57D R9-SA57A R9-SA57B,"900 x 900
1200 x 1200
450 x 450
600 x 600"
,Give Way (Multi-Message Sign ONLY),RM1-2A,600 x 600
,All Traffic Turn (Multi-Message Sign ONLY),RM2-14A,600 x 600
,No Entry (Multi-Message Sign ONLY),RM2-4A,600 x 600
,No Left Turn / No Right Turn (Multi-Message Sign ONLY),RM2-6A,600 x 600
,End Speed Limit (Multi-Message Sign ONLY),RM4-12D,600 x 900
,Speed Restriction (Multi-Message Sign ONLY),RM4-1A,600 x 600
,End Speed Limit (Multi-Message Sign ONLY),RM4-SA12A,600 x 600
,No Overtaking Or Passing (Multi-Message Sign ONLY),RM6-1C,1200 x 600
,Stop Here On Red Signal (Multi-Message Sign ONLY),RM6-6C,1200 x 600
,One Lane (Multi-Message Sign ONLY),RM9-9A,600 x 600
,Heavy Vehicles Excepted (Multi-Message Sign ONLY),RM9-SA109A,600 x 600
,Buses Excepted (Multi-Message Sign ONLY),RM9-SA2A,600 x 600
,Railway Crossing Width Marker Assembly - G9-32 G9-33 D4-3(L) D4-3(R),RX-9,2550 x 900
,Airport / Name Symbol(L or R or Through),S109,350 x 350
,Airfield Symbol (L or R or through),S11,350 x 350
,24 Hr Emergency Service Symbol,S110,350 x 350
,Accommodation Symbol (B&B),S112-B,420 x 350
,Accommodation Symbol (Cabins),S112-C,420 x 350
,Accommodation Symbol (Hostel),S112-HOS,420 x 350
,Accommodation Symbol (Hotel),S112-HOT,420 x 350
,Accommodation Symbol (Motel),S112-M,420 x 350
,Barbecue Symbol,S113,350 x 350
,Accredited Visitor Information Centre Symbol - ONLY Golden 'i'. (Refer to Traffic Operations Section of DPTI),S114,350 x 350
,Bus (Refer to Traffic Operations Section of DPTI),S117,350 x 350
,Park 'n' Ride (bus),S118,420 x 350
,Hook Turn Symbol (for R2-21s),S119,420 x 420
,Rest Area Symbol,S12,350 x 350
,Road Train Symbol (Refer to Traffic Operations Section of DPTI),S120,1960 x 350
,Car Towing Caravan Symbol (Refer to Traffic Operations Section of DPTI),S125,1400 x 350
,24 hr Fuel Symbol,S126,350 x 350
,Truck Parking Area Symbol,S13,420 x 350
,Ferry or Ferries Symbol (Coastal Waters),S137,1190 x 350
,Interstate Bus Terminal Symbol (Refer to Traffic Operations Section of DPTI),S138,420 x 350
,Interstate Train Terminal Symbol (Refer to Traffic Operations Section of DPTI),S139,420 x 350
,Parking Symbol,S14,350 x 350
,Train / Tram Station Symbol,S140,280 x 350
,Park 'n' Ride (train),S141,420 x 350
,Disabled Parking Symbol,S143,420 x 350
,Train & Bus Station Parking Symbol,S144,420 x 350
,EV Electric Vehicle Charging - For use at rapid charging facilities with min 50 kW in urban areas and 75 kW in rural areas.,S148,350 x 350
,Toilet Symbol,S16,350 x 350
,Fireplace Symbol (see S113 barbecue symbol),S18,420 x 350
,12 hour Casualty Service Symbol (Clinic),S1-C,350 x 350
,12 hour Casualty Service Symbol (First Aid),S1-F,350 x 350
,12 hour Casualty Service Symbol (Hospital),S1-H,350 x 350
,Phone (Public) Symbol,S2,280 x 350
,Drinking Water Symbol,S20,280 x 350
,Boat Ramp Symbol,S21,420 x 350
,Disabled Access Symbol,S22,280 x 350
,No Truck Parking Symbol (Formerly S108),S23,350 x 350
,Police Symbol (Formerly S101),S24,350 x 350
,Help Phone Symbol (Formerly S127),S25,420 x 350
,Caravan Dump Point Symbol (Refer to Traffic Operations Section of DPTI) (Formerly S142),S26,350 x 350
,Information Bay Symbol (Formerly S124),S27,350 x 350
,Public Golf Course Symbol (Refer to Traffic Operations Section of DPTI) (Formerly TS145),S28,350 x 350
,Petrol Symbol - open for at least 12 hrs (Refer to S126 for 24 hr fuel),S3,350 x 350
,Information Symbol (White I)- Not for accredited Visitor Information Centres. (Refer to Traffic Operations Section of DPTI),S4,280 x 350
,Restaurant Symbol,S5,280 x 350
,Accommodation Symbol,S6,420 x 350
,Refreshment Symbol,S7,420 x 350
,Camping Area Symbol,S8,420 x 350
,Caravan Park Symbol,S9,420 x 350
,Traffic Hazard,T1-10,1200 x 600
,Roadwork 'x' km Ahead,T1-16B T1-16A,"2400 x 900
1800 x 600"
,Prepare To Stop,T1-18A T1-18B,"900 x 600
1200 x 900"
,(Symbolic) Stock Ahead (Not to be used in S.A. - refer to TES6396),T1-19A T1-19B,"900 x 600
1200 x 900"
,Roadwork Ahead,T1-1A T1-1B,"1800 x 600
2400 x 900"
,New Roundabout,T1-21,1800 x 600
,Changed Signals,T1-22,1200 x 600
,Changed Traffic Conditions (Install for 3 Months max),T1-23AA T1-23,"1200 x 750
1800 x 900"
,Roadwork Next 'x' km,T1-24A T1-24B,"1800 x 600
2400 x 900"
,Roadwork On Side Road,T1-25AA T1-25,"900 x 900
1800 x 600"
,Road Plant On Side Road,T1-27,1800 x 600
,Next 'x' km,T1-28B T1-28A,"900 x 900
600 x 600"
,Bridgework 'x' km Ahead,T1-29,1800 x 600
,Bridgework Ahead,T1-2A,1800 x 600
,Signals Ahead (Symbolic),T1-30,900 x 600
,Roadwork Ahead (3 lines),T1-31AA T1-31,"600 x 800
900 x 1200"
,Road Plant Ahead (3 lines),T1-3-1A,900 x 600
,Side Road Closed,T1-32,1500 x 600
,Side Road Closed,T1-32AA,600 x 800
,Road Plant Ahead (2 lines),T1-3-2B,1800 x 600
,Changed Intersection (Install for 3 months max),T1-33,1800 x 600
